username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
WackyWorkshop,Yonni,23156664,484802282479824897,/WackyWorkshop/status/484802282479824897,2014-07-03 20:54:05,1404420845,0,1,1,0,,,,#flood #Philippines #Makati #manila #rain #downpour #worried Flooding in the Philippines - News - Bubblews http://www.bubblews.com/news/4221478-flooding-in-the-philippines … #bubblews,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Philippines?src=hash""><s>#</s><b>Philippines</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Makati?src=hash""><s>#</s><b>Makati</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/manila?src=hash""><s>#</s><b><strong>manila</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/rain?src=hash""><s>#</s><b>rain</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/downpour?src=hash""><s>#</s><b>downpour</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/worried?src=hash""><s>#</s><b>worried</b></a> Flooding in the Philippines - News - Bubblews <a class=""twitter-timeline-link"" data-expanded-url=""http://www.bubblews.com/news/4221478-flooding-in-the-philippines"" dir=""ltr"" href=""http://t.co/1qs9i49Lhg"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.bubblews.com/news/4221478-flooding-in-the-philippines""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">bubblews.com/news/4221478-f</span><span class=""invisible"">looding-in-the-philippines</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/bubblews?src=hash""><s>#</s><b>bubblews</b></a></p>"
GlobalFloodNews,GlobalFloodSystem,1536412436,484719802980630528,/GlobalFloodNews/status/484719802980630528,2014-07-03 15:26:21,1404401181,0,0,0,0,,,,#flood #disaster Early evening rain floods parts of Metro Manila - http://Inquirer.net : Inquirer.netEarly ev... http://bit.ly/1lWIIjo ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/disaster?src=hash""><s>#</s><b>disaster</b></a> Early evening rain floods parts of Metro <strong>Manila</strong> - <a class=""twitter-timeline-link"" data-expanded-url=""http://Inquirer.net"" dir=""ltr"" href=""http://t.co/W5gZNFLfTF"" rel=""nofollow noopener"" target=""_blank"" title=""http://Inquirer.net""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">Inquirer.net</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>: Inquirer.netEarly ev... <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/1lWIIjo"" dir=""ltr"" href=""http://t.co/5MfElijp3S"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/1lWIIjo""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/1lWIIjo</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
queen_lainne,Lainne ▼ Morales,492661775,484709112148553728,/queen_lainne/status/484709112148553728,2014-07-03 14:43:52,1404398632,0,0,0,0,,,,Happy Wathursday... #flood #taft #manila http://instagram.com/p/p_iDG4EQsF/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Happy Wathursday... <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/taft?src=hash""><s>#</s><b>taft</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/manila?src=hash""><s>#</s><b><strong>manila</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://instagram.com/p/p_iDG4EQsF/"" dir=""ltr"" href=""http://t.co/gPjPkatr9N"" rel=""nofollow noopener"" target=""_blank"" title=""http://instagram.com/p/p_iDG4EQsF/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">instagram.com/p/p_iDG4EQsF/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
queen_lainne,Lainne ▼ Morales,492661775,484679090213888000,/queen_lainne/status/484679090213888000,2014-07-03 12:44:34,1404391474,0,0,0,0,,,,Taft River. #flood #Manila #vscocam http://instagram.com/p/p_UZNZkQp_/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Taft River. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Manila?src=hash""><s>#</s><b><strong>Manila</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/vscocam?src=hash""><s>#</s><b>vscocam</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://instagram.com/p/p_UZNZkQp_/"" dir=""ltr"" href=""http://t.co/mnb2UywkVo"" rel=""nofollow noopener"" target=""_blank"" title=""http://instagram.com/p/p_UZNZkQp_/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">instagram.com/p/p_UZNZkQp_/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
ba_dim_tss,dimae,547355952,484678640697753600,/ba_dim_tss/status/484678640697753600,2014-07-03 12:42:47,1404391367,1,0,1,0,,,,"ay hala “@News5AKSYON: #FLOOD ALERT:  Taft Ave cor. UN Ave., Manila https://twitter.com/Marvinvilla1970/status/484665899492708352/photo/1pic.twitter.com/FJronU4MWI  | PHOTO via @Marvinvilla1970”","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""tl"">ay hala “<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""133152120"" dir=""ltr"" href=""/News5AKSYON""><s>@</s><b>News5AKSYON</b></a>: <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FLOOD?src=hash""><s>#</s><b><strong>FLOOD</strong></b></a> ALERT:  Taft Ave cor. UN Ave., <strong>Manila</strong> <a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/Marvinvilla1970/status/484665899492708352/photo/1"" dir=""ltr"" href=""http://t.co/FJronU4MWI"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/Marvinvilla1970/status/484665899492708352/photo/1""><span class=""tco-ellipsis""></span><span class=""invisible"">https://twitter.com/Marvinvilla1970/status/484665899492708352/photo/1</span><span class=""js-display-url"">pic.twitter.com/FJronU4MWI</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> | PHOTO via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""367681419"" dir=""ltr"" href=""/Marvinvilla1970""><s>@</s><b>Marvinvilla1970</b></a>”</p>"
NickOknox,charles nicko potian,283508374,484673305912545280,/NickOknox/status/484673305912545280,2014-07-03 12:21:35,1404390095,0,0,0,0,,,,"Nalingat lang ako nasa gater na agad yung baha 
#villamor #Flood #manila http://instagram.com/p/p_RxDbMPKq/ ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""tl"">Nalingat lang ako nasa gater na agad yung baha <img alt=""😱"" aria-label=""Emoji: Face screaming in fear"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f631.png"" title=""Face screaming in fear""/>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/villamor?src=hash""><s>#</s><b>villamor</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Flood?src=hash""><s>#</s><b><strong>Flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/manila?src=hash""><s>#</s><b><strong>manila</strong></b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://instagram.com/p/p_RxDbMPKq/"" dir=""ltr"" href=""http://t.co/IijJyfmDzK"" rel=""nofollow noopener"" target=""_blank"" title=""http://instagram.com/p/p_RxDbMPKq/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">instagram.com/p/p_RxDbMPKq/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
News5AKSYON,News5 AKSYON,133152120,484672405139226624,/News5AKSYON/status/484672405139226624,2014-07-03 12:18:00,1404389880,2,5,2,0,,,,"#FLOOD ALERT:  Taft Ave cor. UN Ave., Manila https://twitter.com/Marvinvilla1970/status/484665899492708352/photo/1pic.twitter.com/mnBesV4uz9  | PHOTO via @Marvinvilla1970","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""fr""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FLOOD?src=hash""><s>#</s><b><strong>FLOOD</strong></b></a> ALERT:  Taft Ave cor. UN Ave., <strong>Manila</strong> <a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/Marvinvilla1970/status/484665899492708352/photo/1"" dir=""ltr"" href=""http://t.co/mnBesV4uz9"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/Marvinvilla1970/status/484665899492708352/photo/1""><span class=""tco-ellipsis""></span><span class=""invisible"">https://twitter.com/Marvinvilla1970/status/484665899492708352/photo/1</span><span class=""js-display-url"">pic.twitter.com/mnBesV4uz9</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> | PHOTO via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""367681419"" dir=""ltr"" href=""/Marvinvilla1970""><s>@</s><b>Marvinvilla1970</b></a></p>"
BellsofNomadEye,NomadEye,347005041,482138893072879619,/BellsofNomadEye/status/482138893072879619,2014-06-26 12:30:44,1403785844,0,0,0,0,,,,"""@News5AKSYON: #FLOOD UPDATE as of 8:00 PM: Buendia Off-ramp flood already subsided but still HEAVY traffic to Manila -KAYA PALA!!!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""133152120"" dir=""ltr"" href=""/News5AKSYON""><s>@</s><b>News5AKSYON</b></a>: <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FLOOD?src=hash""><s>#</s><b><strong>FLOOD</strong></b></a> UPDATE as of 8:00 PM: Buendia Off-ramp flood already subsided but still HEAVY traffic to <strong>Manila</strong> -KAYA PALA!!!</p>"
News5AKSYON,News5 AKSYON,133152120,482136726584836097,/News5AKSYON/status/482136726584836097,2014-06-26 12:22:07,1403785327,0,1,2,0,,,,#FLOOD UPDATE as of 8:00 PM: Buendia Off-ramp flood already subsided but still HEAVY traffic to Manila. |via @SkywaySOMCO,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/FLOOD?src=hash""><s>#</s><b><strong>FLOOD</strong></b></a> UPDATE as of 8:00 PM: Buendia Off-ramp flood already subsided but still HEAVY traffic to <strong>Manila</strong>. |via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""355370689"" dir=""ltr"" href=""/SkywaySOMCO""><s>@</s><b>SkywaySOMCO</b></a></p>"
GlobalFloodNews,GlobalFloodSystem,1536412436,482133980095848448,/GlobalFloodNews/status/482133980095848448,2014-06-26 12:11:13,1403784673,0,0,0,0,,,,#flood #disaster Heavy rains trigger floods in Metro Manila: MANILA - Heavy rains pounded Metro Manila and nea... http://bit.ly/1rCai5Y ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/flood?src=hash""><s>#</s><b><strong>flood</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/disaster?src=hash""><s>#</s><b>disaster</b></a> Heavy rains trigger floods in Metro <strong>Manila</strong>: <strong>MANILA</strong> - Heavy rains pounded Metro <strong>Manila</strong> and nea... <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/1rCai5Y"" dir=""ltr"" href=""http://t.co/3DN9WveWTA"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/1rCai5Y""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/1rCai5Y</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
